TAG number,Equipment Description
13-01-432,#12 CENTRIFUGE LUBE OIL MOTOR
13-01-433,#13 CENTRIFUGE LUBE OIL MOTOR
13-01-434,#14 CENTRIFUGE LUBE OIL MOTOR
13-01-435,#15 CENTRIFUGE LUBE OIL MOTOR
13-01-436,#16 CENTRIFUGE LUBE OIL MOTOR
13-01-442,#22 CENTRIFUGE LUBE OIL MOTOR
13-01-443,#23 CENTRIFUGE LUBE OIL MOTOR
13-01-444,#24 CENTRIFUGE LUBE OIL MOTOR
13-01-445,#25 CENTRIFUGE LUBE OIL MOTOR
13-01-446,#26 CENTRIFUGE LUBE OIL MOTOR
13-01-447,#27 CENTRIFUGE LUBE OIL MOTOR
13-01-451,#31 CENTRIFUGE LUBE OIL MOTOR
13-01-452,#32 CENTRIFUGE LUBE OIL MOTOR
13-01-453,#33 CENTRIFUGE LUBE OIL MOTOR
13-01-454,#34 CENTRIFUGE LUBE OIL MOTOR
13-01-462,#42 CENTRIFUGE LUBE OIL MOTOR
13-01-463,#43 CENTRIFUGE LUBE OIL MOTOR
13-01-464,#44 CENTRIFUGE LUBE OIL MOTOR
13-01-471,#51 CENTRIFUGE LUBE OIL MOTOR
13-01-472,#52 CENTRIFUGE LUBE OIL MOTOR
13-01-473,#53 CENTRIFUGE LUBE OIL MOTOR
13-01-474,#54 CENTRIFUGE LUBE OIL MOTOR
13-01-475,#55 CENTRIFUGE LUBE OIL MOTOR
13-01-541,TAILS CYCLONE FEED PUMP #541 
13-01-542,TAILS CYCLONE FEED PUMP #542
13-01-555,PACKING PUMP FOR NEW CARNALITE O/F PUMPS #01
13-01-556,PACKING PUMP FOR NEW CARNALITE O/F PUMPS #02
13-01-557,PACKING PUMP FOR NEW HOT-WELL PUMP #01
13-01-558,PACKING PUMP FOR NEW HOT-WELL PUMP #02
13-01-559,PACKING PUMP #590
13-01-560,PACKING PUMP #560
13-01-561 (VFD),HOT THEKENER UNDER FLOW #561 (VFD)
13-01-562 (VFD),HOT THEKENER UNDER FLOW #562 (VFD)
13-01-571 (VFD),NEW HOT THICKENER O/F PUMP #571 (VFD)
13-01-572 (VFD),NEW HOT THICKENER O/F PUMP #572 (VFD)
13-01-573,NEW HOT BRINE THICKNER SUMP PUMP # 573
13-01-574,NEW HOT BRINE THICKNER SUMP PUMP #574
13-01-610,FLUSHING PUMP FOR PRODUCT CENTRIFUGE
13-01-611,FLUSHING PUMP FOR CARNALITE CENTRIFUGE
13-02-011,VACUUM PUMP #11 
13-02-012,VACUUM PUMP #12 
13-02-013,VACUUM PUMP #13 (ROOTS BLOWER PUMP)
13-02-014,VACUUM PUMP #14 (ROOTS BLOWER PUMP)
13-03-011,SYLVANITE BELT FILTER #11 BLOWER MOTOR 
13-03-012,SYLVANITE BELT FILTER #12 BLOWER MOTOR 
13-03-013,SYLVANITE BELT FILTER #13 BLOWER MOTOR 
13-03-015,ROOT COOLING FAN #15 FOR VACUUM PUMP #14 (ROOTS BLOWER PUMP)
13-03-016,ROOT COOLING FAN #16 FOR VACUUM PUMP #14 (ROOTS BLOWER PUMP)
13-03-017,ROOT COOLING FAN #17 FOR VACUUM PUMP #13 (ROOTS BLOWER PUMP)
13-03-018,ROOT COOLING FAN #18 FOR VACUUM PUMP #13 (ROOTS BLOWER PUMP)
13-03-141,RADIATOR COOLING FAN MOTOR #141
13-03-142,RADIATOR COOLING FAN MOTOR #142
13-03-143,RADIATOR COOLING FAN MOTOR #143
13-03-144,RADIATOR COOLING FAN MOTOR #144
13-03-145,RADIATOR COOLING FAN MOTOR #145
13-03-146,RADIATOR COOLING FAN MOTOR #146
13-03-147,RADIATOR COOLING FAN MOTOR #147
13-03-432,RADIATOR LUBE OIL COOLING FAN / CENTRIFUGE #12
13-03-433,RADIATOR LUBE OIL COOLING FAN / CENTRIFUGE #13
13-03-434,RADIATOR LUBE OIL COOLING FAN / CENTRIFUGE #14
13-03-435,RADIATOR LUBE OIL COOLING FAN / CENTRIFUGE #15
13-03-436,RADIATOR LUBE OIL COOLING FAN / CENTRIFUGE #16
13-03-442,RADIATOR LUBE OIL COOLING FAN / CENTRIFUGE #22
13-03-443,RADIATOR LUBE OIL COOLING FAN / CENTRIFUGE #23
13-03-444,RADIATOR LUBE OIL COOLING FAN / CENTRIFUGE #24
13-03-445,RADIATOR LUBE OIL COOLING FAN / CENTRIFUGE #25
13-03-446,RADIATOR LUBE OIL COOLING FAN / CENTRIFUGE #26
13-03-447,RADIATOR LUBE OIL COOLING FAN / CENTRIFUGE #27
13-03-451,RADIATOR LUBE OIL COOLING FAN / CENTRIFUGE #31
